NOMBRE;GRATUITO;FECHA;FECHA-FIN;HORA;NOMBRE-INSTALACION;latitude;longitude;DISTRITO
Audiovisual. Otros Horizontes;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Audiovisuales. Series;1;2015-07-22;2015-07-22;23:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Audiovisuales. Videoplaylist;1;2015-07-21;2015-07-21;23:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Bici - picnic;0;2014-07-01;2015-12-31;00:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Bici Escuela;0;2014-01-18;2016-04-13;00:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Campamento Urbano;1;2015-07-16;2015-07-31;08:30;Centro Cultural Alfredo Kraus (Fuencarral - El Pardo);40.49082275610172;-3.7216054330053647;FUENCARRAL-EL PARDO
Campamento Urbano;1;2015-07-16;2015-07-31;08:30;Centro Cultural La Vaguada (Fuencarral - El Pardo);40.47900813206291;-3.709138377702435;FUENCARRAL-EL PARDO
Cine de verano al aire libre. Fescinal La Bombilla. Domingo 26 de julio;0;2015-07-26;2015-07-26;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Jueves 23 de julio;0;2015-07-23;2015-07-23;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Jueves 30 de julio;0;2015-07-30;2015-07-30;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Lunes 27 de julio;0;2015-07-27;2015-07-27;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Martes 21 de julio;0;2015-07-21;2015-07-21;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Martes 28 de julio;0;2015-07-28;2015-07-28;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Mircoles 22 de julio;0;2015-07-22;2015-07-22;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Sbado 25 de julio;0;2015-07-25;2015-07-25;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Viernes 24 de julio;0;2015-07-24;2015-07-24;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano al aire libre. Fescinal La Bombilla. Viernes 31 de julio;0;2015-07-31;2015-07-31;00:00;Parque de la Bombilla;40.42834456035844;-3.728941931668392;MONCLOA-ARAVACA
Cine de verano en el Parque Lineal del Manzanares (Usera);1;2015-07-03;2015-07-25;00:00;Auditorio al aire libre. Parque Lineal Manzanares;40.378911603335446;-3.6908295351851654;USERA
Cine de Verano en Villaverde. Amazing Spider-Man 2;1;2015-08-22;2015-08-22;22:30;Instalacin Deportiva Municipal Bsica Colonia Euskalduna;40.35456935043359;-3.699754645665144;VILLAVERDE
Cine de Verano en Villaverde. Aviones: Equipo de rescate.;1;2015-08-01;2015-08-01;22:30;Centro Cultural Los Rosales (Villaverde);40.35074797433515;-3.6773064421969233;VILLAVERDE
Cine de Verano en Villaverde. Bajo la misma estrella.;1;2015-07-23;2015-07-23;21:30;Auditorio Municipal el Espinillo;40.36180966975026;-3.6927748531714824;VILLAVERDE
Cine de Verano en Villaverde. Guardianes de la Galaxia.;1;2015-08-08;2015-08-08;22:30;Parque de la Amistad;40.348326631620154;-3.6921658727994773;VILLAVERDE
Cine de Verano en Villaverde. Malfica.;1;2015-07-30;2015-07-30;22:30;Parque Huerta del Obispo (Villaverde);40.346980092315505;-3.712145719392749;VILLAVERDE
Cine de Verano en Villaverde. Ocho apellidos vascos.;1;2015-08-29;2015-08-29;22:30;Auditorio Municipal el Espinillo;40.36180966975026;-3.6927748531714824;VILLAVERDE
Cine de verano. A cambio de nada;0;2015-08-03;2015-08-03;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. A cambio de nada;0;2015-07-29;2015-07-29;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Big Hero 6;0;2015-08-22;2015-08-22;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Campanilla y la leyenda de la bestia;0;2015-09-12;2015-09-12;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Cenicienta;0;2015-08-29;2015-08-29;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Cincuenta sombras de Grey;0;2015-08-02;2015-08-02;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Cincuenta sombras de Grey;0;2015-07-27;2015-07-27;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Corazones de acero;0;2015-08-23;2015-08-23;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Corazones de acero;0;2015-08-25;2015-08-25;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Del revs (inside out);0;2015-09-05;2015-09-05;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Dios mo, pero qu te hemos hecho?;0;2015-09-06;2015-09-06;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Dios mo, pero qu te hemos hecho?;0;2015-09-08;2015-09-08;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El ao ms violento;0;2015-09-10;2015-09-10;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El francotirador;0;2015-07-21;2015-07-21;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El maestro del agua;0;2015-08-07;2015-08-07;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El nio;0;2015-08-12;2015-08-12;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El nio 44;0;2015-09-11;2015-09-11;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. El viaje ms largo;0;2015-08-05;2015-08-05;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
Cine de verano. Fuerza mayor;0;2015-08-11;2015-08-11;00:00;Auditorio al aire libre. Parque del Calero;40.43629048801827;-3.6504213176387332;CIUDAD LINEAL
